Name,Price,Date,Parked_At
tradesumo.com,"6,243",2021-11-04,NamePull.com
novoinsurance.com,"3,576",2021-11-04,NamePull.com
gelmatrix.com,"1,666",2021-11-04,NamePull.com
vancouverseo.com,"1,399",2021-11-04,BuyDomains
lucidminds.com,"7,944",2021-11-04,BuyDomains
justap.com,"7,113",2021-11-04,GoDaddy
localleadgen.com,590,2021-11-04,GoDaddy
kolage.com,503,2021-11-04,GoDaddy
enterprisedirect.com,343,2021-11-04,GoDaddy
zvlv.com,814,2021-11-04,Sedo
microcomputer.org,931,2021-11-04,Flippa
domainexperts.com,"98,681",2021-11-03,GoDaddy
bolt.net,"96,888",2021-11-03,GoDaddy
oregongardenresort.com,"4,719",2021-11-03,GoDaddy
traditionsofthesun.org,"2,422",2021-11-03,GoDaddy
studentedge.com,"2,211",2021-11-03,DropCatch
tokenscope.com,"2,811",2021-11-03,Domaincracy
pandi.com,"5,333",2021-11-03,NameJet
bestkidsapps.com,"8,270",2021-11-03,GoDaddy
spare.io,"8,100",2021-11-03,Park.io
powerfi.com,"3,468",2021-11-03,GoDaddy
metaconcepts.com,"7,888",2021-11-03,BuyDomains
sqdr.com,"7,884",2021-11-03,Sedo
peky.com,"7,988",2021-11-03,BuyDomains
affiliatecash.com,"6,233",2021-11-03,GoDaddy
topnow.com,"1,592",2021-11-03,GoDaddy
traderportal.com,"1,888",2021-11-03,BuyDomains
bidver.com,"1,834",2021-11-03,Sedo
mindhackers.com,"1,034",2021-11-03,GoDaddy
greeniq.com,"1,270",2021-11-03,GoDaddy
protoverse.com,"4,666",2021-11-03,NameJet
qacademy.com,"4,525",2021-11-03,NameJet
67h.com,"4,877",2021-11-03,GoDaddy
nft.bio,"4,406",2021-11-03,Dynadot
creditcollections.com,"4,465",2021-11-03,GoDaddy
metaseries.com,"4,477",2021-11-03,BuyDomains
mowi.net,"4,953",2021-11-03,BuyDomains
jobbit.com,"4,764",2021-11-03,GoDaddy
easybook.app,"9,333",2021-11-03,TOP.DOMAINS
osmp.com,"9,087",2021-11-03,DropCatch
dailynft.com,"9,547",2021-11-03,GoDaddy
resultsdigital.com,"9,522",2021-11-03,GoDaddy
sarahcarter.com,"9,551",2021-11-03,DropCatch
urbanmodern.com,"9,586",2021-11-03,GoDaddy
cbdcorp.com,"9,825",2021-11-03,GoDaddy
uwellness.com,"9,821",2021-11-03,GoDaddy
swapcloud.com,"9,881",2021-11-03,GoDaddy
santamonicabikeshare.com,"9,868",2021-11-03,GoDaddy
bodysocial.com,"9,811",2021-11-03,BuyDomains
envavo.com,"9,811",2021-11-03,GoDaddy
sourcingsystems.com,"9,344",2021-11-03,BuyDomains
ucollect.com,"9,726",2021-11-03,NameJet
unfilteredfacts.com,"9,688",2021-11-03,BuyDomains
silkstream.com,"9,624",2021-11-03,GoDaddy
modernloop.com,"9,633",2021-11-03,GoDaddy
miamiboat.com,"9,122",2021-11-03,GoDaddy
truenorthmarketing.com,"9,126",2021-11-03,GoDaddy
cfactoronto.com,"9,113",2021-11-03,GoDaddy
1stserve.com,"9,141",2021-11-03,GoDaddy
citrans.com,"9,981",2021-11-03,GoDaddy
smackd.com,"9,922",2021-11-03,GoDaddy
studioindigo.com,"9,982",2021-11-03,GoDaddy
berlitz-blog.com,"9,988",2021-11-03,GoDaddy
cryptodate.com,"9,935",2021-11-03,GoDaddy
webeast.com,"9,962",2021-11-03,GoDaddy
proparnaiba.com,"9,968",2021-11-03,GoDaddy
eim.net,"9,999",2021-11-03,NameJet
endlesssummit.com,"9,144",2021-11-03,BuyDomains
fomoex.com,"9,121",2021-11-03,DropCatch
twxx.com,"9,110",2021-11-03,GoDaddy
beginpower.com,"9,111",2021-11-03,GoDaddy
prepaidcall.com,001,2021-11-03,GoDaddy
gosenior.com,040,2021-11-03,GoDaddy
antibite.com,043,2021-11-03,GoDaddy
thejoyfulfoodie.com,022,2021-11-03,DropCatch
blog.center,028,2021-11-03,Sav.com
inksigns.com,076,2021-11-03,GoDaddy
auto95.org,010,2021-11-03,GoDaddy
imgenius.com,010,2021-11-03,GoDaddy
mypodcasts.com,018,2021-11-03,GoDaddy
lv.tv,644,2021-11-03,Dynadot
bnbcash.com,964,2021-11-03,GoDaddy
greensec.com,996,2021-11-03,DropCatch
buildventures.com,998,2021-11-03,NameJet
homeinfinity.com,954,2021-11-03,GoDaddy
apideveloper.com,921,2021-11-03,GoDaddy
olsx.com,914,2021-11-03,GoDaddy
website4u.com,974,2021-11-03,DropCatch
ukrha.org,974,2021-11-03,GoDaddy
betterbit.com,949,2021-11-03,DropCatch
ultrahardware.com,947,2021-11-03,GoDaddy
enerfuel.com,566,2021-11-03,GoDaddy
cvmp01.site,569,2021-11-03,Dynadot
roclab.com,599,2021-11-03,GoDaddy
vp888.com,598,2021-11-03,GoDaddy
consent.ai,591,2021-11-03,Whois.ai
dao.cash,504,2021-11-03,Sav.com
ngmdomain.com,534,2021-11-03,GoDaddy
bangkokmodels.com,523,2021-11-03,GoDaddy
brewer.io,515,2021-11-03,Park.io
